,loss,side_6_loss,side_7_loss,side_8_loss,activation_64_loss,out_10_loss,side_6_dice_coef,side_6_jacard,side_6_recall,side_6_precision,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall,side_7_precision,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall,side_8_precision,side_8_accuracy,activation_64_dice_coef,activation_64_jacard,activation_64_recall,activation_64_precision,activation_64_accuracy,out_10_dice_coef,out_10_jacard,out_10_recall,out_10_precision,out_10_accuracy
0,2.7421388626098633,0.37043148279190063,0.4296190142631531,0.5644112825393677,0.7297110557556152,0.6471753716468811,0.29286372661590576,0.1753084808588028,0.21673499047756195,0.45476096868515015,0.8396837115287781,0.2667759954929352,0.15712760388851166,0.22534795105457306,0.2997902035713196,0.8000521659851074,0.25847575068473816,0.1522112339735031,0.4310084879398346,0.24222247302532196,0.705320417881012,0.26547080278396606,0.15806549787521362,0.7500599026679993,0.22902314364910126,0.5735247135162354,0.20919565856456757,0.1197117418050766,0.005129354540258646,0.04875761270523071,0.8317195773124695
1,2.384168863296509,0.324438214302063,0.3416212201118469,0.3674381971359253,0.6888017058372498,0.6610794067382812,0.35415634512901306,0.2204381823539734,0.32499948143959045,0.5741603970527649,0.8592143058776855,0.32719361782073975,0.20011909306049347,0.2739396393299103,0.5330218076705933,0.8515271544456482,0.2855895459651947,0.1699848622083664,0.20225276052951813,0.47646501660346985,0.8432397246360779,0.2926046848297119,0.17763565480709076,0.8232103586196899,0.26877641677856445,0.6286277174949646,0.205066978931427,0.11717520654201508,0.003912759944796562,0.039065636694431305,0.8321203589439392
2,2.2814416885375977,0.30341172218322754,0.3134309649467468,0.3278999328613281,0.6713829040527344,0.6645275950431824,0.39363232254981995,0.25049513578414917,0.373750239610672,0.6320626735687256,0.8703144192695618,0.3824763596057892,0.2416847050189972,0.3506436347961426,0.6245157718658447,0.8678001165390015,0.34964218735694885,0.21626771986484528,0.2998775541782379,0.6299465298652649,0.8653247356414795,0.3024311661720276,0.18437378108501434,0.8167501091957092,0.28888779878616333,0.662848711013794,0.20159652829170227,0.1149834617972374,0.0020989759359508753,0.03210815042257309,0.8369086980819702
3,2.1843371391296387,0.28610172867774963,0.29377424716949463,0.30377086997032166,0.6328890919685364,0.6670125722885132,0.4236181676387787,0.2752206325531006,0.42767220735549927,0.662715494632721,0.8785872459411621,0.4189510643482208,0.27092406153678894,0.4178406596183777,0.6570465564727783,0.8770093321800232,0.40257900953292847,0.2571526765823364,0.38112974166870117,0.6768689751625061,0.8769223690032959,0.3142872154712677,0.19320052862167358,0.8085294365882874,0.3097843825817108,0.6937105059623718,0.19728654623031616,0.11246924102306366,0.0010808242950588465,0.026001205667853355,0.8402546644210815
4,2.108065605163574,0.27516603469848633,0.2813597619533539,0.28837016224861145,0.5942913293838501,0.6680893898010254,0.4483095109462738,0.29666370153427124,0.4561459422111511,0.7016292214393616,0.886603593826294,0.4450383484363556,0.2931414842605591,0.45348700881004333,0.6880854964256287,0.8844130635261536,0.43251192569732666,0.2818116545677185,0.4372045397758484,0.6941776275634766,0.8839015960693359,0.3210591971874237,0.19725848734378815,0.7835332155227661,0.36136385798454285,0.7539128065109253,0.19521068036556244,0.1110701635479927,0.0005428321892395616,0.024573862552642822,0.8430827260017395
5,2.0516228675842285,0.261979341506958,0.26774129271507263,0.27375268936157227,0.5776817798614502,0.6696812510490417,0.4778050184249878,0.3227813243865967,0.4977346658706665,0.7213592529296875,0.8932589888572693,0.4752025306224823,0.31963595747947693,0.49467673897743225,0.7135713696479797,0.8918195962905884,0.4624466001987457,0.3070385456085205,0.48435670137405396,0.7115195393562317,0.8905700445175171,0.32676994800567627,0.20091336965560913,0.755255401134491,0.4204465448856354,0.8023856282234192,0.1934250295162201,0.10985434800386429,0.00023927308211568743,0.021915316581726074,0.844706118106842
6,2.0005621910095215,0.24993033707141876,0.2550260126590729,0.25989097356796265,0.5644702315330505,0.6704575419425964,0.5009127259254456,0.34290310740470886,0.5309401154518127,0.7394876480102539,0.8991636633872986,0.4982732832431793,0.339753121137619,0.5311583280563354,0.7312126159667969,0.8979365825653076,0.48906829953193665,0.33040469884872437,0.5330513715744019,0.723969042301178,0.896999180316925,0.3336571156978607,0.20597423613071442,0.7571864724159241,0.46411967277526855,0.8283178210258484,0.19093933701515198,0.10828731209039688,0.00011454826017143205,0.020528903231024742,0.8454883098602295
7,1.9506853818893433,0.23632334172725677,0.24166162312030792,0.2464447021484375,0.5534242391586304,0.6720452308654785,0.5257147550582886,0.3676932156085968,0.5539207458496094,0.7714934945106506,0.9062278866767883,0.5224880576133728,0.3636679947376251,0.5518679618835449,0.7633215188980103,0.9048281311988831,0.5133381485939026,0.35366886854171753,0.5587706565856934,0.7516300678253174,0.9038106799125671,0.3399273157119751,0.21076609194278717,0.7659844756126404,0.4999283254146576,0.8462768793106079,0.18910139799118042,0.10708390176296234,6.242445670068264e-05,0.02124873176217079,0.8458782434463501
8,1.906470775604248,0.22382082045078278,0.22925862669944763,0.23497675359249115,0.5445417165756226,0.673086404800415,0.5516281127929688,0.3913652002811432,0.5920472145080566,0.7758297920227051,0.9110110402107239,0.5493890643119812,0.38871920108795166,0.5892009139060974,0.7673172950744629,0.9094045758247375,0.5363264679908752,0.3747847080230713,0.5915666818618774,0.7573481202125549,0.9080986976623535,0.34482645988464355,0.21448667347431183,0.7808561325073242,0.524350643157959,0.8574575185775757,0.1865096539258957,0.10554041713476181,3.8720540032954887e-05,0.023930050432682037,0.8460742831230164
9,1.8472251892089844,0.2076926827430725,0.21244724094867706,0.21769440174102783,0.5336672067642212,0.67493736743927,0.5815224647521973,0.42139339447021484,0.6242126822471619,0.801822304725647,0.9185342192649841,0.5797106623649597,0.41889655590057373,0.6205126643180847,0.7953081727027893,0.9171321988105774,0.5686768889427185,0.40626198053359985,0.6235178112983704,0.7850591540336609,0.9159018993377686,0.35227471590042114,0.21979105472564697,0.8017582893371582,0.5559093952178955,0.8710967898368835,0.18501166999340057,0.10441984981298447,2.2711084966431372e-05,0.026009095832705498,0.8461835980415344
